t,x,y,z
0.164,4.116992308,7.896282907,17.42496366
0.166,4.19254095,7.968405874,17.39801715
0.168,4.2680384,8.042201947,17.37302455
0.17,4.343518672,8.117657979,17.35001122
0.172,4.419014842,8.19476044,17.32900353
0.174,4.494559057,8.273495384,17.31002888
0.176,4.570182552,8.353848405,17.2931157
0.178,4.645915647,8.435804599,17.27829339
0.18,4.721787766,8.519348522,17.26559233
0.182,4.797827437,8.604464139,17.2550439
0.184,4.874062299,8.691134781,17.24668039
0.186,4.950519107,8.779343097,17.24053507
0.188,5.027223735,8.869071001,17.23664211
0.19,5.104201182,8.96029962,17.2350366
0.192,5.181475566,9.053009242,17.23575454
0.194,5.259070129,9.147179259,17.23883276
0.196,5.337007238,9.242788107,17.24430898
0.198,5.415308378,9.339813211,17.25222175
0.2,5.493994151,9.438230922,17.2626104
0.202,5.573084271,9.538016455,17.27551507
0.204,5.652597561,9.639143824,17.29097666
0.206,5.732551944,9.741585777,17.30903677
0.208,5.812964433,9.845313736,17.32973772
0.21,5.893851126,9.950297718,17.35312246
0.212,5.975227194,10.05650627,17.37923461
0.214,6.057106872,10.16390639,17.40811836
0.216,6.139503441,10.27246348,17.43981845
0.218,6.222429216,10.38214125,17.47438006
0.22,6.305895535,10.49290165,17.51184886
0.222,6.389912739,10.6047048,17.55227092
0.224,6.474490155,10.7175089,17.59569267
0.226,6.55963608,10.83127019,17.64216073
0.228,6.645357757,10.94594284,17.691722
0.23,6.731661361,11.06147888,17.74442348
0.232,6.818551967,11.17782813,17.8003123
0.234,6.90603354,11.29493812,17.85943554
0.236,6.994108901,11.41275404,17.92184015
0.238,7.082779706,11.53121864,17.98757293
0.24,7.172046418,11.65027214,18.05668042
0.242,7.261908282,11.76985218,18.12920877
0.244,7.3523633,11.88989377,18.20520364
0.246,7.443408201,12.01032923,18.28471008
0.248,7.535038407,12.13108804,18.36777246
0.25,7.627248002,12.25209685,18.45443433
0.252,7.720029712,12.37327938,18.54473828
0.254,7.813374872,12.49455648,18.63872574
0.256,7.907273387,12.61584591,18.73643697
0.258,8.001713696,12.73706237,18.83791084
0.26,8.096682748,12.85811742,18.94318469
0.262,8.19216598,12.97891955,19.05229415
0.264,8.288147273,13.09937409,19.16527299
0.266,8.384608912,13.2193831,19.28215294
0.268,8.481531554,13.33884541,19.40296355
0.27,8.578894207,13.4576566,19.52773196
0.272,8.676674213,13.57570913,19.65648273
0.274,8.774847192,13.6928922,19.78923763
0.276,8.873387016,13.80909176,19.92601544
0.278,8.972265791,13.92419061,20.06683178
0.28,9.071453821,14.03806839,20.21169888
0.282,9.170919579,14.15060162,20.36062534
0.284,9.270629681,14.26166374,20.51361594
0.286,9.370548886,14.37112532,20.67067141
0.288,9.470640056,14.47885402,20.83178823
0.29,9.570864127,14.58471468,20.99695832
0.292,9.671180106,14.68856947,21.16616892
0.294,9.771545079,14.79027808,21.33940233
0.296,9.871914162,14.88969777,21.51663564
0.298,9.972240505,14.98668353,21.69784051
0.3,10.0724753,15.08108833,21.88298301
0.302,10.17256779,15.1727633,22.07202337
0.304,10.27246525,15.26155787,22.26491571
0.306,10.37211297,15.34732005,22.46160785
0.308,10.47145435,15.42989671,22.66204118
0.31,10.57043085,15.50913378,22.86615042
0.312,10.66898204,15.58487658,23.07386337
0.314,10.76704558,15.65697005,23.28510076
0.316,10.86455735,15.7252592,23.49977624
0.318,10.9614514,15.7895893,23.71779602
0.32,11.05766004,15.84980634,23.93905878
0.322,11.15311386,15.90575733,24.16345564
0.324,11.24774185,15.95729073,24.39087007
0.326,11.34147138,16.00425683,24.62117769
0.328,11.43422834,16.04650821,24.8542462
0.33,11.52593718,16.08390008,25.08993554
0.332,11.61652103,16.11629079,25.32809778
0.334,11.70590175,16.1435423,25.56857699
0.336,11.79400006,16.16552062,25.81120941
0.338,11.88073565,16.18209618,26.05582366
0.34,11.96602727,16.19314448,26.30224061
0.342,12.04979288,16.1985465,26.55027354
0.344,12.13194975,16.19818917,26.79972841
0.346,12.21241463,16.19196575,27.05040407
0.348,12.29110386,16.17977652,27.30209237
0.35,12.36793354,16.16152921,27.55457842
0.352,12.44281968,16.13713927,27.80764102
0.354,12.51567837,16.10653048,28.06105296
0.356,12.58642591,16.06963547,28.31458127
0.358,12.65497907,16.02639614,28.56798767
0.36,12.72125515,15.97676382,28.82102911
0.362,12.78517225,15.92069985,29.07345812
0.364,12.84664944,15.85817597,29.32502338
0.366,12.90560692,15.78917461,29.57547017
0.368,12.96196623,15.71368924,29.82454097
0.37,13.01565047,15.6317247,30.07197608
0.372,13.06658443,15.54329721,30.31751415
0.374,13.11469488,15.4484348,30.56089291
0.376,13.15991068,15.34717742,30.80184977
0.378,13.202163,15.23957701,31.04012246
0.38,13.24138555,15.12569766,31.27544977
0.382,13.27751474,15.00561564,31.50757227
0.384,13.31048984,14.87941928,31.73623289
0.386,13.34025321,14.74720905,31.96117778
0.388,13.36675048,14.60909741,32.18215699
0.39,13.38993067,14.46520862,32.39892505
0.392,13.40974639,14.31567855,32.61124183
0.394,13.42615403,14.1606545,32.81887322
0.396,13.43911381,14.00029478,33.02159164
0.398,13.44859002,13.83476845,33.21917691
0.4,13.45455111,13.6642549,33.41141683
0.402,13.45696979,13.4889434,33.59810766
0.404,13.45582314,13.30903263,33.77905487
0.406,13.45109276,13.12473014,33.95407368
0.408,13.44276477,12.93625184,34.12298942
0.41,13.43082992,12.74382132,34.28563818
0.412,13.41528368,12.54766926,34.44186723
