t,x,y,z
1.266,6.708446353,0.269640507,32.16657523
1.268,6.5804001,0.214900619,31.99868477
1.27,6.453838695,0.163493833,31.83093605
1.272,6.328797686,0.115314612,31.66339747
1.274,6.205309836,0.070258203,31.49613288
1.276,6.083405193,0.028220814,31.32920172
1.278,5.963111166,-0.010900226,31.16265917
1.28,5.8444526,-0.047206303,30.99655643
1.282,5.727451856,-0.080797397,30.83094081
1.284,5.612128886,-0.111771962,30.66585596
1.286,5.498501314,-0.140226795,30.50134205
1.288,5.386584515,-0.166256961,30.3374359
1.29,5.276391699,-0.189955709,30.17417121
1.292,5.167933981,-0.211414369,30.0115787
1.294,5.061220469,-0.23072232,29.84968624
1.296,4.956258345,-0.247966927,29.68851907
1.298,4.853052931,-0.263233473,29.52809992
1.3,4.751607781,-0.276605155,29.36844913
1.302,4.651924754,-0.28816304,29.20958487
1.304,4.554004083,-0.297986028,29.05152319
1.306,4.45784446,-0.306150865,28.89427823
1.308,4.363443103,-0.312732121,28.73786228
1.31,4.270795829,-0.317802174,28.58228594
1.312,4.179897129,-0.321431239,28.42755824
1.314,4.090740234,-0.32368736,28.27368674
1.316,4.003317179,-0.324636411,28.12067761
1.318,3.917618878,-0.324342139,27.96853579
1.32,3.833635184,-0.322866165,27.81726503
1.322,3.751354948,-0.320268003,27.66686802
1.324,3.670766087,-0.316605106,27.51734643
1.326,3.591855639,-0.311932874,27.36870104
1.328,3.514609821,-0.306304693,27.2209318
1.33,3.439014087,-0.299771975,27.07403788
1.332,3.36505318,-0.29238418,26.92801777
1.334,3.292711183,-0.28418886,26.78286932
1.336,3.221971574,-0.275231699,26.63858983
1.338,3.15281727,-0.265556545,26.49517605
1.34,3.085230676,-0.255205453,26.35262431
1.342,3.019193731,-0.24421873,26.2109305
1.344,2.95468795,-0.232634969,26.07009013
1.346,2.891694466,-0.220491095,25.93009843
1.348,2.830194072,-0.20782241,25.79095031
1.35,2.770167257,-0.194662625,25.65264044
1.352,2.711594245,-0.181043913,25.51516328
1.354,2.654455027,-0.166996949,25.37851309
1.356,2.598729402,-0.152550947,25.24268401
1.358,2.544397001,-0.137733705,25.10767003
1.36,2.491437321,-0.122571651,24.97346502
1.362,2.439829759,-0.107089874,24.84006281
1.364,2.389553633,-0.091312176,24.70745714
1.366,2.340588212,-0.075261105,24.57564172
1.368,2.292912741,-0.058957994,24.44461023
1.37,2.246506467,-0.042423006,24.31435636
1.372,2.201348659,-0.025675169,24.18487378
1.374,2.157418629,-0.00873241,24.0561562
1.376,2.114695757,0.0083884,23.92819734
1.378,2.073159506,0.025671418,23.80099098
1.38,2.032789442,0.043101786,23.67453094
1.382,1.993565251,0.060665604,23.54881109
1.384,1.955466755,0.078349889,23.42382538
1.386,1.918473929,0.096142548,23.29956782
1.388,1.882566912,0.11403234,23.17603249
1.39,1.847726019,0.132008849,23.05321357
1.392,1.813931762,0.150062451,22.93110532
1.394,1.781164855,0.168184287,22.80970206
1.396,1.749406221,0.18636623,22.68899825
